%year,month,precipitation anomalies, PDSI
1997,10,0.68,1.66
1997,11,-1.1457,1.3
1997,12,-0.42493,1.15
1998,1,2.5928,1.64
1998,2,0.95913,1.65
1998,3,0.86304,1.79
1998,4,-1.6961,-0.41
1998,5,-1.9678,-1.03
1998,6,-1.9314,-1.73
1998,7,-0.39522,-2.26
1998,8,-0.0050725,-2.36
1998,9,0.49174,-2.24
1998,10,1.27,-1.72
1998,11,-1.6057,-2.03
1998,12,0.075072,-1.86
1999,1,3.1528,-0.88
1999,2,-2.4809,-1.75
1999,3,0.40304,-1.38
1999,4,0.66391,-1.12
1999,5,-0.75783,-1.14
1999,6,1.4186,-0.57
1999,7,-2.0752,-0.97
1999,8,-2.0451,-1.75
1999,9,-1.9783,-2.2
1999,10,-0.72,-2.2
1999,11,-2.7657,-2.95
1999,12,0.46507,-2.79
2000,1,-1.4172,-3
2000,2,-1.1509,-3.24
2000,3,-0.68696,-3.22
2000,4,-1.3161,-3.17
2000,5,1.3122,-2.55
2000,6,2.9986,-1.27
2000,7,-2.3252,-1.63
2000,8,-2.8151,-2.66
2000,9,-0.79826,-2.75
2000,10,-2.08,-3.16
2000,11,4.3543,1.04
2000,12,-0.89493,0.88
2001,1,-0.25725,0.72
2001,2,4.2591,1.87
2001,3,-1.147,-0.25
2001,4,-2.5861,-1.12
2001,5,0.26217,-1.05
2001,6,-0.78145,-1.12
2001,7,-1.2852,-1.49
2001,8,-0.40507,-1.7
2001,9,-0.098261,0.02
2001,10,1.98,0.69
2001,11,1.1643,0.94
2001,12,3.7851,1.97
2002,1,0.27275,1.78
2002,2,-1.0809,1.22
2002,3,4.573,2.57
2002,4,-1.5961,-0.54
2002,5,0.78217,-0.15
2002,6,-1.3614,-0.55
2002,7,0.26478,-0.49
2002,8,0.11493,-0.44
2002,9,-0.76826,-0.71
2002,10,0.51,-0.4
2002,11,-2.4457,-0.93
2002,12,3.0451,0
2003,1,-3.0672,-0.83
2003,2,2.2391,-0.05
2003,3,-2.917,-0.92
2003,4,-2.3261,-1.48
2003,5,1.4922,0.4
2003,6,1.8186,1.09
2003,7,-0.30522,1.16
2003,8,-0.31507,1.07
2003,9,-0.14826,1.07
2003,10,-1.41,-0.34
2003,11,0.64435,-0.31
2003,12,-1.3849,-0.63
2004,1,-0.47725,-0.74
2004,2,0.28913,-0.58
2004,3,-0.44696,-0.81
2004,4,1.3539,0.42
2004,5,-0.37783,0.22
2004,6,1.8786,0.83
2004,7,0.84478,1.41
2004,8,-0.48507,1.62
2004,9,-3.3483,0.57
2004,10,4.33,1.69
2004,11,4.3743,2.86
2004,12,-1.4349,-0.29
2005,1,1.5828,0.33
2005,2,-0.97087,-0.44
2005,3,-1.427,-0.8
2005,4,-0.80609,-0.91
2005,5,-3.4478,-1.64
2005,6,-1.9514,-2.2
2005,7,0.18478,-2.25
2005,8,-0.20507,-2.4
2005,9,1.0217,-2.05
2005,10,-3.58,-2.86
2005,11,-1.4157,-3.19
2005,12,-3.7549,-4.08
2006,1,0.87275,-4.01
2006,2,-1.3009,-4.01
2006,3,0.093043,-3.64
2006,4,-0.36609,-3.58
2006,5,-1.4478,-3.6
2006,6,-1.3714,-3.64
2006,7,-1.0752,-3.79
2006,8,0.49493,-3.52
2006,9,0.58174,0.29
2006,10,0.68,0.61
2006,11,0.26435,0.67
2006,12,1.3851,1.06
2007,1,3.1828,1.78
2007,2,-1.3709,-0.44
2007,3,-3.287,-1.67
2007,4,-0.70609,-1.62
2007,5,-1.6878,-1.97
2007,6,-0.28145,-1.88
2007,7,1.8848,-0.93
2007,8,-2.3551,-1.62
2007,9,0.81174,-1.3
2007,10,1.31,-0.86
2007,11,-2.5557,-1.48
2007,12,1.2351,-1.08
2008,1,-2.0072,-1.53
2008,2,0.85913,0.2
2008,3,4.133,1.4
2008,4,3.2039,2.28
2008,5,-0.82783,1.89
2008,6,0.12855,1.7
2008,7,-0.96522,1.29
2008,8,4.0249,2.52
2008,9,3.8817,3.73
2008,10,-0.13,3.81
2008,11,-2.3057,3.11
2008,12,-0.034928,2.9
2009,1,-0.99725,2.32
2009,2,-1.1009,1.61
2009,3,0.42304,1.52
2009,4,0.28391,1.53
2009,5,5.6522,2.97
2009,6,-1.3214,2.16
2009,7,3.6848,3.21
2009,8,0.30493,3.36
2009,9,4.8917,4.77
2009,10,10.29,7.82
2009,11,-2.9157,6.43
2009,12,2.4851,6.64
2010,1,0.18275,6.01
2010,2,-0.49087,-0.11
2010,3,-1.937,-0.66
2010,4,-1.8661,-1.19
2010,5,0.82217,-0.93
2010,6,-1.3214,-1.48
2010,7,0.59478,-1.44
2010,8,-1.5151,-2.11
2010,9,-0.44826,-2.17
2010,10,-2.53,-2.71
2010,11,-0.26565,-2.71
2010,12,-2.9549,-3.33
2011,1,-2.1372,-3.75
2011,2,0.30913,-3.35
2011,3,-2.127,-3.68
2011,4,5.6739,-1.77
2011,5,2.9322,-0.7
2011,6,-2.2614,-1.58
2011,7,-1.8352,-2.6
2011,8,1.0149,-2.47
2011,9,-1.2583,-2.55
2011,10,-1.3,-2.64
2011,11,3.8343,-1.57
2011,12,2.4751,-0.62
2012,1,-0.81725,-0.87
2012,2,-0.78087,-1.16
2012,3,1.783,-0.91
2012,4,-2.3661,-1.6
2012,5,-3.9078,-2.7
2012,6,-1.9514,-3.36
2012,7,-1.0452,-4.01
2012,8,1.1249,-3.57
2012,9,1.2617,-2.88
2012,10,-0.55,-2.59
2012,11,-2.8757,-3.11
2012,12,-0.58493,-3.16
2013,1,2.3028,0.56
2013,2,0.25913,0.53
2013,3,-1.417,0.18
2013,4,0.30391,0.37
2013,5,0.91217,0.69
2013,6,-0.61145,0.41
2013,7,0.17478,0.6
2013,8,0.58493,0.86
2013,9,-0.27826,0.66
2013,10,1,0.98
2013,11,-0.76565,0.85
2013,12,1.2551,1.25
2014,1,-1.7572,-0.46
2014,2,-1.1409,-0.75
2014,3,-0.26696,0.06
2014,4,0.61391,0.3
2014,5,0.67217,0.52
2014,6,2.3086,1.19
2014,7,0.47478,1.69
2014,8,-0.35507,1.86
2014,9,-1.3283,1.4
2014,10,1.59,1.78
2014,11,-1.9357,-0.24
2014,12,-1.4849,-0.56
2015,1,-0.24725,-0.58
2015,2,-0.63087,-0.67
2015,3,3.093,0.98
2015,4,0.82391,1.07
2015,5,5.1822,2.36
2015,6,0.058551,2.08
2015,7,1.0548,2.2
2015,8,-0.22507,2.05
2015,9,-2.2783,1.11
2015,10,-0.09,0.96
2015,11,6.1043,2.35
2015,12,3.9451,3.18
2016,1,-1.7172,2.37
2016,2,-1.3809,1.56
2016,3,4.963,2.75
2016,4,0.87391,2.68
2016,5,-0.83783,2.29
2016,6,-0.83145,1.7
2016,7,0.95478,1.69
2016,8,4.1749,2.89
2016,9,-1.9483,-0.54
2016,10,-2.26,-1.21
2016,11,-1.3357,-1.66
2016,12,-0.73493,-1.82
2017,1,-0.72725,-1.94
2017,2,-1.0909,-2.34
2017,3,-0.39696,-2.36
2017,4,3.7639,0.96
2017,5,1.1922,1.27
